id1,id2,w1,w2,d1,d2,label
1,1,पाकुड़,अननक्वॉडियम,भारत के झारखंड राज्य का एक शहर पाकुड़ क,एक किरणोत्सर्गी रासायनिक तत्त्व,0
3,3,निरुत्साही,अनुत्साही,जिसमें उत्साह या स्फूर्ति न हो निरुत्स,उत्साह किंवा स्फूर्ती नसलेला,1
5,5,क्षत विक्षत,महालक्ष्मी,कटी पिटी अवस्था में इधर इधर फैला हुआ वह ,नारायणाची एक शक्ती महालक्ष्म,0
7,7,असह,वयोगट,"जो अपने उग्रता,कठोरता,अनौचित्य आदि के कार",साधारणतः समान वय असेलल्या लोकांचा समूह,0
9,9,ओकोलेहाओ,आदरातिथ्य,"एक प्रकार की शराब जो गन्ने के रस, चावल और म",पाहुण्याचा केलेला आदरसन्मान ,0
11,11,जल भंडारण,आझाद हिंद सेना,वह मानवकृति जहाँ जल का भंडारण या जल को इकट,राजा महेन्द्र प्रताप सिंह ह्यांनी एकोणत,0
13,13,चाल,चाळ,अनेक परिवारों के रहने के लिए बनाई गई आपस म,एकाच नमुन्याच्या घरांची पट्टी,1
15,15,अभिपूर्ण,परिपूर्ण,जो पूरी तरह से पूर्ण या भरा हुआ हो या जिसमे,पूर्णपणे भरलेला किंवा कसलीही कमतरता नसल,1
17,17,अनामीज़,अनामी,अनाम से संबंधित या अनाम का  यह एक अनामीज,अनाम ह्या प्रांताचा वा ह्या प्रांताशी सं,1
19,19,आवाहन,आवाहन,किसी काम में साथ देने के लिए बुलाने या आओ क,एखाद्या कामात साथ देण्यासाठी बोलवण्याची,1
21,21,तबदीली,बदली,अधिकारी या कार्यकर्ता का एक स्थान या विभा,दुसर्या ठिकाणी नेमणूक माझी रत,1
23,23,नीचा,बेल्जियमी,जिसके तल से उसके आसपास का तल ऊँचा हो या जो ,बेल्जियमी भाषेचा किंवा बेल्जियमी भाषेशी,0
25,25,रास,कारले,एक मात्रिक छंद रास के प्रत्येक चरण में ,"रास,कारले,""  एक मात्रिक छंद रास के प्रत्य"" ",0
27,27,बध्य,वध्य,मार डालने योग्य मेरी दृष्टि में प्रत्य,मारून टाकण्यास योग्य असा प्रत,1
29,29,पौर्णमासी,पौर्णिमा,"चान्द्र मास के शुक्ल पक्ष की अंतिम तिथि, ज",ज्या तिथीस चंद्रबिंब सोळाही कलांनी युक्,1
31,31,रंगाई,रंगकाम,रंगने की क्रिया या भाव एक कमरे की रँगाई ,रंगण्याचे काम घराच्या रंगकाम,1
33,33,माया,चेटक्या,इंद्रवज्रा नामक वर्णवृत्त का एक उपभेद जो,"जादूटोणा,मंत्रतंत्र,करणी करणारा",0
35,35,गुरिल्ला सेना,पुढे जाणारा,गोरिल्ला युद्ध करने वाली सेना शिवाजी क,पुढे जाण्याची क्रिया करणारा प,0
37,37,स्थावर,स्थिर,जो चल न सके या जिसमें गति न हो वनस्पतिया,हलवण्यास अशक्य असलेला घर ही स,1
39,39,लेह,आवळा,भारत के जम्मू और कश्मीर प्रांत का एक जिला,बाहेरून सहा उभ्या रेषा असलेले एक तुरट फळ,0
41,41,आगे,साडेसाती,आगे की ओर स्थिति पंक्ति में राम मेरे आग,एका विशिष्ट वेळेपर्यंत राहणारी शनि ग्रह,0
43,43,वानप्रस्थी,वानप्रस्थाश्रमी,जो वानप्रस्थ आश्रम में प्रवेश कर गया हो,वानप्रस्थाश्रमात प्रवेश केलेला,1
45,45,खंभ,ताणा बाणा,"पत्थर, लकड़ी, आदि का बना गोल या चौकोर ऊँचा ",विणीचे उभे आडवे धागे किंवा सूत,0
47,47,ख़रीफ़,अहमदाबाद,आषाढ़ से अगहन तक में काटी जाने वाली फ़सल,गुजरात राज्यातील एक शहर अहमदा,0
49,49,साँवला,सावळा,कुछ कुछ काला या हल्का काला कृष्ण साँवले,काळ्या रंगाकडे झुकलेल्या रंगाचा,1
51,51,अश्लीलता,बारामाशी,अश्लील होने की अवस्था या भाव अश्लीलता क,वर्षाच्या सगळ्या महिन्यांत येणारा किंवा,0
53,53,खुरचन,जागतिक विक्रम,एक प्रकार की मिठाई  श्यामा खुरचन खा रही ,जागतिक स्तरावर एखाद्या क्षेत्रात केलेले,0
